x,y,z,T
124.72,52.35,355,19.8
124.33,51.7,576,18.5
126.65,51.72,174,21.5
124.12,50.4,370,20.4
117.43,49.57,682,22.3
119.75,49.22,609,21.9
121.92,48.77,818,19
116.82,48.67,550,23.8
118.27,48.22,633,22.7
86.4,48.05,514,23.7
122.73,48,313,22.9
124.48,47.8,164,23.2
128.92,47.73,228,20.1
88.08,47.73,710,23.4
126.97,47.43,226,21.6
85.87,47.43,992,22.7
130.27,47.33,182,20.9
131.98,47.23,70,22
125.9,47.17,225,22.3
87.47,47.12,496,25.5
130.28,46.82,78,22.3
83,46.73,547,25.2
121.22,46.6,496,20.5
126.97,46.62,176,23
125.32,46.38,147,23.4
132.18,46.32,90,21.7
129.58,46.3,98,22.3
128.73,45.97,104,22
83.6,45.93,1086,24.1
126.77,45.75,122,23.6
125.25,45.7,149,23.2
122.83,45.63,152,24.2
84.85,45.62,443,29.7
116.97,45.52,841,22.5
90.53,45.37,1575,20.8
130.93,45.3,255,21.8
127.97,45.22,186,22.3
82.57,45.18,301,30
124.87,45.08,133,24
81.02,44.97,1386,21.8
126,44.97,199,23.3
123.07,44.78,146,24.2
120.9,44.57,267,24.5
129.6,44.57,243,22
84.67,44.43,514,28.6
131.17,44.38,540,19.9
86.05,44.32,455,27.3
87.53,44.2,466,27.8
89.57,44.02,765,25.1
114.95,44.02,1119,22.2
81.33,43.95,671,26.3
126.47,43.95,186,23.6
113.63,43.87,1041,23.8
87.65,43.78,945,26.6
95.13,43.77,435,31.4
126.52,43.7,223,23
130.25,43.7,483,20.9
111.97,43.65,964,24.1
93.05,43.6,1646,20.8
121.28,43.6,241,24.2
122.27,43.6,179,24
128.2,43.37,513,21.6
126.02,43.3,246,23
94.7,43.27,1823,20.8
91.73,43.22,703,30.6
81.13,43.15,1871,19.2
126.75,42.98,265,23.1
89.2,42.93,-12,33.7
119.02,42.93,634,22.6
129.47,42.88,211,21.9
93.52,42.82,760,28.2
86.3,42.73,1988,20.7
110.13,42.53,1216,23.3
124.05,42.53,97,24.4
128.25,42.53,638,19.9
122.53,42.42,87,24.5
126.82,42.35,653,21
120.7,42.33,409,23.3
88.22,42.23,929,29.1
116.47,42.18,1248,19
124.92,42.1,233,23
127.57,42.1,912,19.9
86.57,42.08,1057,25
121.72,42.08,173,24.4
101.07,41.95,943,27.2
114,41.9,1489,19.2
124.08,41.92,122,23.6
97.03,41.8,1777,21.7
126.92,41.8,356,21.9
81.9,41.78,1219,24.6
86.13,41.75,936,30.7
82.97,41.72,1071,26.5
125.9,41.68,512,22.8
108.52,41.57,1275,23.2
94.67,41.53,1569,24.5
128.18,41.42,692,19.9
119.7,41.38,505,23.3
123.78,41.32,159,24
125.35,41.28,247,22.5
116.63,41.22,664,21.7
114.7,41.15,1393,19.2
123,41.08,60,26
113.07,41.03,1423,19.5
117.95,40.98,420,24.2
107.13,40.9,1036,23.3
111.68,40.82,1062,22.7
114.88,40.78,726,22.9
107.42,40.75,1041,24.2
124.78,40.72,262,22.6
109.85,40.67,1072,23.9
122.27,40.67,1,25
87.7,40.63,853,29.9
81.27,40.55,1011,27.1
75.4,40.52,3586,11.4
79.05,40.5,1152,27.9
115.5,40.4,526,23.4
116.87,40.38,74,25.8
118.95,40.4,249,24.9
120.35,40.35,30,24.2
123.28,40.28,79,22.8
97.03,40.27,1529,22.4
117.95,40.2,53,26.9
104.8,40.17,1324,23.8
122.15,40.17,17,25
113.33,40.1,1072,21.6
124.33,40.05,5,23
98.9,40,1268,24.5
109.98,39.83,1460,22.1
119.52,39.85,3,24.1
78.57,39.8,1118,29.1
116.47,39.8,33,26.8
98.48,39.77,1470,22.8
105.75,39.78,1029,26.2
75.25,39.72,2165,23.2
122.95,39.72,27,23.9
122.02,39.63,64,24.4
109.73,39.57,1331,22.2
75.98,39.47,1297,28.3
122.37,39.42,6,24
111.15,39.38,942,23.8
99.83,39.37,1348,23.6
122.58,39.27,5,23.2
101.68,39.22,1528,24.4
106.77,39.22,1091,25
107.98,39.1,1375,22.9
117.72,39.05,4,26.7
83.67,39,1114,30
100.43,38.93,1488,23.1
113.52,38.95,1837,14.1
121.63,38.9,43,24.6
105.67,38.83,1530,23.8
115.52,38.85,16,26.6
98.42,38.8,3375,10.4
101.08,38.8,1781,20.8
112.72,38.73,815,23.6
103.08,38.63,1375,24.4
111.13,38.47,1053,24.2
99.58,38.42,3269,9.1
117.35,38.37,9,26.9
90.85,38.25,2952,18.1
109.78,38.27,1133,24
115.73,38.23,21,26.7
100.25,38.18,2753,13.3
116.55,38.08,11,27.4
114.42,38.03,80,27.6
109.23,37.93,1155,24.6
120.72,37.93,-1,24.6
107.38,37.8,1354,23.7
112.55,37.78,775,24.3
78.28,37.62,1375,28.6
120.32,37.62,4,26.4
107.58,37.58,1382,24.2
105.18,37.53,1228,23.7
121.4,37.53,31,24.9
105.68,37.48,1186,24.8
111.1,37.5,902,25.1
117.53,37.48,12,27.1
116.32,37.43,26,28.1
118.67,37.43,4,27.4
101.62,37.38,2858,12.5
122.68,37.4,14,22.9
100.13,37.33,3300,10.5
116.57,37.33,20,26.9
104.05,37.18,1639,22.6
79.93,37.13,1352,29.6
82.72,37.07,1408,28.2
111.92,37.03,756,25.1
105.9,36.97,1322,24.1
120.73,36.97,50,25.8
98.483333,36.916667,2964,15.8
81.65,36.85,1424,26.8
118,36.83,26,27.4
93.68,36.8,2776,18.9
121.18,36.77,40,25.1
101.75,36.72,2301,16.5
117.95,36.63,103,27.9
105.65,36.57,1830,21.2
107.3,36.58,1279,23.7
109.5,36.6,991,22.7
117.05,36.6,183,27.8
103.93,36.35,1694,20.2
102.85,36.32,1813,20.6
98.1,36.3,3194,14.5
100.62,36.27,2886,15.8
115.67,36.23,39,27.1
117.15,36.17,128,27.2
118.15,36.18,272,25.9
120.33,36.07,55,24.6
101.43,36.03,2242,19.2
103.88,36.05,1518,23.4
114.4,36.05,63,26.8
106.27,36,1756,20.5
105.72,35.97,1918,18.1
109.5,35.82,1228,22.2
107.63,35.73,1420,22.4
105.08,35.68,1913,20.1
111.37,35.65,428,26.9
99.98,35.58,3292,12
100.75,35.58,3144,12.9
103.18,35.58,1913,18.8
106.67,35.55,1357,22.1
116.85,35.57,49,27
102.02,35.52,2510,17.3
112.4,35.48,594,24.4
119.53,35.43,27,24.8
105,35.38,2248,15
113.88,35.32,72,27.8
117.95,35.25,107,26.5
107.8,35.2,1192,21.7
115.55,35.1,51,26.4
101.47,35.03,3655,8.7
111.05,35.05,362,27.3
118.35,35.05,66,26
102.9,35,2895,12.5
111.2,34.8,303,26.6
112.43,34.82,310,26.7
114.3,34.78,76,27.3
101.6,34.73,3514,9.2
113.65,34.72,109,28
105.75,34.58,1147,23.6
107.38,34.52,788,25.4
110.08,34.48,1600,17.7
100.25,34.47,3769,9.4
115.67,34.45,51,26
104.02,34.43,2359,15.9
107.13,34.35,622,27.1
108.22,34.25,436,26.6
117.15,34.28,42,26.9
92.43,34.22,4532,7.4
95.78,34.13,4170,8.4
111.03,34.05,586,24.2
102.08,34,3483,10.2
109.97,33.87,726,24.2
113.05,33.88,138,27
95.6,33.85,4188,8.8
97.13,33.8,4439,5.7
111.6,33.78,979,23.4
114.52,33.78,54,27
120.25,33.77,0,25.4
99.65,33.75,4063,8.4
116.98,33.63,29,27
119.02,33.63,16,25.8
102.97,33.58,3446,9.8
107.98,33.52,825,22.9
101.48,33.43,3622,9.2
104.92,33.4,1157,25.1
106.15,33.32,919,23.6
111.5,33.3,232,26.8
107.03,33.07,507,26.4
97.02,33.02,3846,11.6
110.42,33,268,26.8
98.1,32.98,4172,7.8
118.52,32.98,24,26.2
100.75,32.93,3504,10.5
117.38,32.95,27,26.2
95.3,32.9,4142,9.9
115.73,32.87,31,26.4
120.32,32.87,2,25.9
110.82,32.85,191,27
102.55,32.8,3493,9.8
103.57,32.65,3294,12.1
116.78,32.55,22,26.4
80.08,32.5,4275,14.3
104.52,32.42,1023,23.6
105.85,32.43,479,26
111.67,32.38,89,26.2
91.1,32.35,4721,8
118.3,32.3,30,25.9
100.33,32.28,3879,8.7
96.48,32.2,3622,13.2
115.62,32.17,51,26.3
112.75,32.15,123,27.1
108.03,32.07,655,25.2
110.77,32.03,693,24.8
118.8,32,11,26.4
120.88,31.98,6,26.3
106.77,31.87,496,27.1
119.98,31.88,7,26.9
98.58,31.8,3695,13.4
116.5,31.75,61,26
113.82,31.62,84,26.9
117.87,31.62,19,26.3
105.97,31.58,371,27.2
92.07,31.48,4521,9.4
93.78,31.48,4328,12.8
104.73,31.45,506,27
119.48,31.43,9,26.7
90.02,31.38,4752,9.3
116.32,31.4,83,25.8
118.37,31.33,22,26.6
96.6,31.22,3815,11.3
112.57,31.17,52,27.2
115.02,31.18,56,26.9
121.43,31.17,6,26.8
97.17,31.15,3294,15.4
120.43,31.07,1,26.7
109.53,31.02,320,28.1
88.63,30.95,4653,10.7
100.32,30.93,3479,13.7
111.08,30.87,138,26.6
108.4,30.77,229,28.3
95.83,30.75,3755,14.3
103.83,30.7,535,25.1
93.28,30.67,5196,8.6
113.17,30.67,30,26.9
114.13,30.62,26,27.2
121.08,30.62,10,26.3
91.1,30.48,4301,11.1
105.55,30.5,350,27.2
112.15,30.35,32,27.1
81.25,30.28,5251,14.6
120.17,30.23,24,26.6
